2025-03-28,2026-05-08T11:57:01.000+01:00,T1000154,Completed,C4768690,Auto,Karol Bagh,Manesar,0,other,0,unknown,0,unknown,998,46.83,4.6,4.5,Credit Card
2025-04-16,2026-05-08T08:03:17.000+01:00,T1000350,Cancelled by Driver,C7446724,Go Sedan,Satguru Ram Singh Marg,Pulbangash,0,other,1,Customer related issue,0,unknown,0,0.0,4.2,4.4,unknown
2025-12-11,2026-05-08T12:14:05.000+01:00,T1001081,Completed,C9532875,eBike,IIT Delhi,Sarai Kale Khan,0,other,0,unknown,0,unknown,956,2.73,4.5,4.5,UPI
2025-03-01,2026-05-08T11:17:51.000+01:00,T1001432,Completed,C7839854,Auto,Seelampur,Saket,0,other,0,unknown,0,unknown,663,6.01,4.1,4.9,UPI
2025-09-26,2026-05-08T18:45:21.000+01:00,T1001602,Completed,C4862662,Go Mini,Nawada,Jor Bagh,0,other,0,unknown,0,unknown,302,46.85,4.0,4.2,Cash
2025-04-26,2026-05-08T19:19:39.000+01:00,T1001713,Completed,C3631307,Auto,Narsinghpur,DLF Phase 3,0,other,0,unknown,0,unknown,499,48.48,3.2,4.3,Cash
2025-01-19,2026-05-08T09:14:17.000+01:00,T1002034,Cancelled by Customer,C4668689,Premier Sedan,Keshav Puram,Patel Chowk,1,Driver is not moving towards pickup location,0,unknown,0,unknown,0,0.0,4.2,4.4,unknown
2025-08-26,2026-05-08T16:09:02.000+01:00,T1002093,No Driver Found,C8546912,Auto,Ardee City,Sikanderpur,0,other,0,unknown,0,unknown,0,0.0,4.2,4.4,unknown
2025-04-28,2026-05-08T16:17:53.000+01:00,T1002203,Completed,C7249972,Bike,Satguru Ram Singh Marg,Palam Vihar,0,other,0,unknown,0,unknown,1061,12.52,4.7,4.0,UPI
2025-03-15,2026-05-08T19:39:36.000+01:00,T1002441,No Driver Found,C9016086,Premier Sedan,Sarojini Nagar,Kalkaji,0,other,0,unknown,0,unknown,0,0.0,4.2,4.4,unknown
2025-11-14,2026-05-08T12:28:23.000+01:00,T1002930,Completed,C5511829,Go Sedan,Delhi Gate,Jama Masjid,0,other,0,unknown,0,unknown,437,48.87,5.0,3.9,Cash
2025-12-13,2026-05-08T14:59:04.000+01:00,T1003175,No Driver Found,C7377126,Go Sedan,Badarpur,Khandsa,0,other,0,unknown,0,unknown,0,0.0,4.2,4.4,unknown
2025-12-30,2026-05-08T02:15:20.000+01:00,T1003251,Completed,C1177280,Auto,Kashmere Gate ISBT,Saidulajab,0,other,0,unknown,0,unknown,309,12.24,4.3,4.4,Debit Card
2025-06-17,2026-05-08T19:26:02.000+01:00,T1003388,No Driver Found,C5368598,Go Mini,Narsinghpur,Samaypur Badli,0,other,0,unknown,0,unknown,0,0.0,4.2,4.4,unknown
